Scenario,Parameter,Variation_%,Parameter_Value,Season,totalGeneration_Value,collectionEfficiency_Value,processingCapacityUtilization_Value,totalSystemCost_Value,disposalVolume_Value,recoveryRate_Value,netCostPerDay_Value,totalGeneration_SensitivityIndex,totalGeneration_RelativeSensitivity,collectionEfficiency_SensitivityIndex,collectionEfficiency_RelativeSensitivity,processingCapacityUtilization_SensitivityIndex,processingCapacityUtilization_RelativeSensitivity,totalSystemCost_SensitivityIndex,totalSystemCost_RelativeSensitivity,disposalVolume_SensitivityIndex,disposalVolume_RelativeSensitivity,recoveryRate_SensitivityIndex,recoveryRate_RelativeSensitivity,netCostPerDay_SensitivityIndex,netCostPerDay_RelativeSensitivity
baseline,baseline,0,,high,82.69888000000002,100,97.33435900140694,41625.81737087218,7.75144768025708,5.5463612416784285,18625.817370872173,,,,,,,,,,,,,,
baseline,baseline,0,,low,33.898720000000004,100,66.32916449179737,20651.78177785342,7.75144768025708,5.49636039302966,15651.78177785342,,,,,,,,,,,,,,
generation.hotels.rate_-20%,generation.hotels.rate,-20,0.96,high,81.721696,100,89.31825754166022,40859.26992824977,7.75144768025708,5.534428598865241,17859.26992824978,4.885920000000006,5.90808484951671,,,26.704356145849463,27.43569323291425,3835.3269966529483,9.213817863278122,,,0.058329374170524854,1.0516692229169216,3835.326996652903,20.591456043431126
generation.hotels.rate_-20%,generation.hotels.rate,-20,0.96,low,33.681568000000006,100,64.57635616003778,20482.477563077442,7.75144768025708,5.49317322832969,15482.47756307745,1.0857599999999756,3.2029527958577066,,,8.764901984291491,13.21425055094039,846.7199561836787,4.09998500512767,,,0.01583339132855688,0.2880704720279327,846.7199561836651,5.409735250600902
generation.hotels.rate_-10%,generation.hotels.rate,-10,1.08,high,82.210288,100,93.32568591938622,41242.40718500285,7.75144768025708,5.540465204860898,18242.407185002845,4.885920000000006,5.90808484951671,,,26.704356145849463,27.43569323291425,3835.3269966529483,9.213817863278122,,,0.058329374170524854,1.0516692229169216,3835.326996652903,20.591456043431126
generation.hotels.rate_-10%,generation.hotels.rate,-10,1.08,low,33.790144,100,65.45271672074313,20567.119590198196,7.75144768025708,5.494772002411871,15567.119590198197,1.0857599999999756,3.2029527958577066,,,8.764901984291491,13.21425055094039,846.7199561836787,4.09998500512767,,,0.01583339132855688,0.2880704720279327,846.7199561836651,5.409735250600902
generation.hotels.rate_+10%,generation.hotels.rate,10,1.32,high,83.187472,100,100,42009.48629327784,7.75144768025708,5.552124019052022,19009.486293277845,4.885920000000006,5.90808484951671,,,26.704356145849463,27.43569323291425,3835.3269966529483,9.213817863278122,,,0.058329374170524854,1.0516692229169216,3835.326996652903,20.591456043431126
generation.hotels.rate_+10%,generation.hotels.rate,10,1.32,low,34.007296000000004,100,67.20569829007486,20736.463852507495,7.75144768025708,5.497938541064603,15736.463852507497,1.0857599999999756,3.2029527958577066,,,8.764901984291491,13.21425055094039,846.7199561836787,4.09998500512767,,,0.01583339132855688,0.2880704720279327,846.7199561836651,5.409735250600902
generation.hotels.rate_+20%,generation.hotels.rate,20,1.44,high,83.676064,100,100,42393.40072691095,7.75144768025708,5.557760348533451,19393.400726910942,4.885920000000006,5.90808484951671,,,26.704356145849463,27.43569323291425,3835.3269966529483,9.213817863278122,,,0.058329374170524854,1.0516692229169216,3835.326996652903,20.591456043431126
generation.hotels.rate_+20%,generation.hotels.rate,20,1.44,low,34.115871999999996,100,68.08231695375437,20821.165545550914,7.75144768025708,5.499506584861113,15821.165545550915,1.0857599999999756,3.2029527958577066,,,8.764901984291491,13.21425055094039,846.7199561836787,4.09998500512767,,,0.01583339132855688,0.2880704720279327,846.7199561836651,5.409735250600902
generation.restaurants.rate_-20%,generation.restaurants.rate,-20,91.36000000000001,high,80.43772000000001,100,78.312299196998,39756.345502258155,7.75144768025708,5.568046831881777,16756.34550225816,11.305799999999984,13.671043670724417,,,54.219252007505006,55.70412397406478,9324.512348547469,22.40079099340961,,,-0.09666085453826634,-1.742779641035697,9324.512348547487,50.0622988128808
generation.restaurants.rate_-20%,generation.restaurants.rate,-20,91.36000000000001,low,31.637560000000004,100,47.715116189123364,18778.58347794205,7.75144768025708,5.519965241214752,13778.583477942053,11.305799999999975,33.3517017751702,,,93.66446433459738,141.21158475647684,9338.215104682795,45.217479078231015,,,-0.10371831031459777,-1.8870362002850218,9338.21510468279,59.66231344916878
generation.restaurants.rate_-10%,generation.restaurants.rate,-10,102.78,high,81.56830000000001,100,87.82920008027138,40692.36961998257,7.75144768025708,5.5565405718968055,17692.369619982575,11.305799999999984,13.671043670724417,,,54.219252007505006,55.70412397406478,9324.512348547469,22.40079099340961,,,-0.09666085453826634,-1.742779641035697,9324.512348547487,50.0622988128808
generation.restaurants.rate_-10%,generation.restaurants.rate,-10,102.78,low,32.76814000000001,100,56.964613537275085,19716.778338299944,7.75144768025708,5.507340963804218,14716.778338299937,11.305799999999975,33.3517017751702,,,93.66446433459738,141.21158475647684,9338.215104682795,45.217479078231015,,,-0.10371831031459777,-1.8870362002850218,9338.21510468279,59.66231344916878
generation.restaurants.rate_+10%,generation.restaurants.rate,10,125.62000000000002,high,83.82946000000003,100,100,42556.991860377,7.75144768025708,5.537352730055422,19556.991860376995,11.305799999999984,13.671043670724417,,,54.219252007505006,55.70412397406478,9324.512348547469,22.40079099340961,,,-0.09666085453826634,-1.742779641035697,9324.512348547487,50.0622988128808
generation.restaurants.rate_+10%,generation.restaurants.rate,10,125.62000000000002,low,35.029300000000006,100,75.70285447106897,21584.02626852936,7.75144768025708,5.486800788920504,16584.02626852936,11.305799999999975,33.3517017751702,,,93.66446433459738,141.21158475647684,9338.215104682795,45.217479078231015,,,-0.10371831031459777,-1.8870362002850218,9338.21510468279,59.66231344916878
generation.restaurants.rate_+20%,generation.restaurants.rate,20,137.04,high,84.96004,100,100,43486.15044167714,7.75144768025708,5.52938249006647,20486.150441677153,11.305799999999984,13.671043670724417,,,54.219252007505006,55.70412397406478,9324.512348547469,22.40079099340961,,,-0.09666085453826634,-1.742779641035697,9324.512348547487,50.0622988128808
generation.restaurants.rate_+20%,generation.restaurants.rate,20,137.04,low,36.159879999999994,100,85.18090192296232,22513.86951981517,7.75144768025708,5.478477917088913,17513.86951981517,11.305799999999975,33.3517017751702,,,93.66446433459738,141.21158475647684,9338.215104682795,45.217479078231015,,,-0.10371831031459777,-1.8870362002850218,9338.21510468279,59.66231344916878
general.highSeasonOccupancy_-20%,general.highSeasonOccupancy,-20,72,high,81.721696,100,89.31825754166022,40859.26992824977,7.75144768025708,5.534428598865241,17859.26992824978,4.885920000000006,5.90808484951671,,,26.704356145849463,27.43569323291425,3835.3269966529483,9.213817863278122,,,0.0583293741705293,1.0516692229170017,3835.326996652903,20.591456043431126
general.highSeasonOccupancy_-20%,general.highSeasonOccupancy,-20,72,low,33.898720000000004,100,66.32916449179737,20651.78177785342,7.75144768025708,5.49636039302966,15651.78177785342,,,,,,,,,,,,,,
general.highSeasonOccupancy_-10%,general.highSeasonOccupancy,-10,81,high,82.210288,100,93.32568591938622,41242.40718500285,7.75144768025708,5.540465204860898,18242.407185002845,4.885920000000006,5.90808484951671,,,26.704356145849463,27.43569323291425,3835.3269966529483,9.213817863278122,,,0.0583293741705293,1.0516692229170017,3835.326996652903,20.591456043431126
general.highSeasonOccupancy_-10%,general.highSeasonOccupancy,-10,81,low,33.898720000000004,100,66.32916449179737,20651.78177785342,7.75144768025708,5.49636039302966,15651.78177785342,,,,,,,,,,,,,,
general.highSeasonOccupancy_+10%,general.highSeasonOccupancy,10,99.00000000000001,high,83.187472,100,100,42009.48629327784,7.75144768025708,5.552124019052022,19009.486293277845,4.885920000000006,5.90808484951671,,,26.704356145849463,27.43569323291425,3835.3269966529483,9.213817863278122,,,0.0583293741705293,1.0516692229170017,3835.326996652903,20.591456043431126
general.highSeasonOccupancy_+10%,general.highSeasonOccupancy,10,99.00000000000001,low,33.898720000000004,100,66.32916449179737,20651.78177785342,7.75144768025708,5.49636039302966,15651.78177785342,,,,,,,,,,,,,,
general.highSeasonOccupancy_+20%,general.highSeasonOccupancy,20,108,high,83.676064,100,100,42393.40072691095,7.75144768025708,5.557760348533453,19393.400726910942,4.885920000000006,5.90808484951671,,,26.704356145849463,27.43569323291425,3835.3269966529483,9.213817863278122,,,0.0583293741705293,1.0516692229170017,3835.326996652903,20.591456043431126
general.highSeasonOccupancy_+20%,general.highSeasonOccupancy,20,108,low,33.898720000000004,100,66.32916449179737,20651.78177785342,7.75144768025708,5.49636039302966,15651.78177785342,,,,,,,,,,,,,,
rsuSystem.processing.finalTransportCapacity_-20%,rsuSystem.processing.finalTransportCapacity,-20,6.4,high,82.69888000000002,100,100,40589.01737087216,6.201158144205664,5.536490777729845,17589.01737087217,,,,,-46.21209251163158,-47.47767693314095,5184.000000000015,12.453809504357114,7.75144768025708,100,0.04935231974292131,0.889814377254418,5184.0000000000055,27.832335605883046
rsuSystem.processing.finalTransportCapacity_-20%,rsuSystem.processing.finalTransportCapacity,-20,6.4,low,33.898720000000004,100,82.01267390287953,19614.98177785342,6.201158144205664,5.486489929081075,14614.981777853422,,,,,-78.14168679879796,-117.80894180939273,5184.000000000015,25.10195030996908,7.75144768025708,100,0.04935231974292131,0.897909092815468,5184.00000000001,33.12082977885074
rsuSystem.processing.finalTransportCapacity_-10%,rsuSystem.processing.finalTransportCapacity,-10,7.2,high,82.69888000000002,100,100,41107.41737087217,6.9763029122313736,5.541426009704137,18107.41737087217,,,,,-46.21209251163158,-47.47767693314095,5184.000000000015,12.453809504357114,7.75144768025708,100,0.04935231974292131,0.889814377254418,5184.0000000000055,27.832335605883046
rsuSystem.processing.finalTransportCapacity_-10%,rsuSystem.processing.finalTransportCapacity,-10,7.2,low,33.898720000000004,100,74.15623066056577,20133.381777853418,6.9763029122313736,5.491425161055368,15133.381777853418,,,,,-78.14168679879796,-117.80894180939273,5184.000000000015,25.10195030996908,7.75144768025708,100,0.04935231974292131,0.897909092815468,5184.00000000001,33.12082977885074
rsuSystem.processing.finalTransportCapacity_+10%,rsuSystem.processing.finalTransportCapacity,10,8.8,high,82.69888000000002,100,89.42476099837707,42144.21737087216,8.526592448282786,5.551296473652721,19144.21737087217,,,,,-46.21209251163158,-47.47767693314095,5184.000000000015,12.453809504357114,7.75144768025708,100,0.04935231974292131,0.889814377254418,5184.0000000000055,27.832335605883046
rsuSystem.processing.finalTransportCapacity_+10%,rsuSystem.processing.finalTransportCapacity,10,8.8,low,33.898720000000004,100,58.50209832302886,21170.181777853428,8.526592448282786,5.5012956250039515,16170.18177785342,,,,,-78.14168679879796,-117.80894180939273,5184.000000000015,25.10195030996908,7.75144768025708,100,0.04935231974292131,0.897909092815468,5184.00000000001,33.12082977885074
rsuSystem.processing.finalTransportCapacity_+20%,rsuSystem.processing.finalTransportCapacity,20,9.6,high,82.69888000000002,100,81.51516299534737,42662.61737087217,9.301737216308496,5.556231705627013,19662.617370872173,,,,,-46.21209251163158,-47.47767693314095,5184.000000000015,12.453809504357114,7.75144768025708,100,0.04935231974292131,0.889814377254418,5184.0000000000055,27.832335605883046
rsuSystem.processing.finalTransportCapacity_+20%,rsuSystem.processing.finalTransportCapacity,20,9.6,low,33.898720000000004,100,50.755999183360345,21688.581777853426,9.301737216308496,5.506230856978243,16688.581777853426,,,,,-78.14168679879796,-117.80894180939273,5184.000000000015,25.10195030996908,7.75144768025708,100,0.04935231974292131,0.897909092815468,5184.00000000001,33.12082977885074
rsuSystem.leaks.collectionLeak_-20%,rsuSystem.leaks.collectionLeak,-20,12,high,82.69888000000002,100,100,41705.121152161046,7.75144768025708,5.505516690128742,18705.121152161042,,,,,-27.955751540551788,-28.721359884999803,-411.0256957045204,-0.9874297291087842,,,0.21169432205630834,3.816814535366359,-411.0256957045204,-2.2067525280651545
rsuSystem.leaks.collectionLeak_-20%,rsuSystem.leaks.collectionLeak,-20,12,low,33.898720000000004,100,73.59777239687237,20728.832408904298,7.75144768025708,5.456676302047544,15728.832408904298,,,,,-36.403819820361996,-54.883579642954636,-399.3477828856521,-1.9337207180539995,,,0.2056797398463317,3.742107961245943,-399.3477828856521,-2.5514525346290706
rsuSystem.leaks.collectionLeak_-10%,rsuSystem.leaks.collectionLeak,-10,13.5,high,82.69888000000002,100,100,41666.15686655668,7.75144768025708,5.525584822393041,18666.156866556685,,,,,-27.955751540551788,-28.721359884999803,-411.0256957045204,-0.9874297291087842,,,0.21169432205630834,3.816814535366359,-411.0256957045204,-2.2067525280651545
rsuSystem.leaks.collectionLeak_-10%,rsuSystem.leaks.collectionLeak,-10,13.5,low,33.898720000000004,100,69.96634927035677,20690.975162434213,7.75144768025708,5.476174265824884,15690.975162434215,,,,,-36.403819820361996,-54.883579642954636,-399.3477828856521,-1.9337207180539995,,,0.2056797398463317,3.742107961245943,-399.3477828856521,-2.5514525346290706
rsuSystem.leaks.collectionLeak_+10%,rsuSystem.leaks.collectionLeak,10,16.5,high,82.69888000000002,100,93.07950969318091,41584.02855198941,7.75144768025708,5.567884119141738,18584.02855198941,,,,,-27.955751540551788,-28.721359884999803,-411.0256957045204,-0.9874297291087842,,,0.21169432205630834,3.816814535366359,-411.0256957045204,-2.2067525280651545
rsuSystem.leaks.collectionLeak_+10%,rsuSystem.leaks.collectionLeak,10,16.5,low,33.898720000000004,100,62.68590737048335,20611.180247718836,7.75144768025708,5.517271770313648,15611.180247718832,,,,,-36.403819820361996,-54.883579642954636,-399.3477828856521,-1.9337207180539995,,,0.2056797398463317,3.742107961245943,-399.3477828856521,-2.5514525346290706
rsuSystem.leaks.collectionLeak_+20%,rsuSystem.leaks.collectionLeak,20,18,high,82.69888000000002,100,88.81769938377928,41540.71087387924,7.75144768025708,5.590194418951265,18540.710873879234,,,,,-27.955751540551788,-28.721359884999803,-411.0256957045204,-0.9874297291087842,,,0.21169432205630834,3.816814535366359,-411.0256957045204,-2.2067525280651545
rsuSystem.leaks.collectionLeak_+20%,rsuSystem.leaks.collectionLeak,20,18,low,33.898720000000004,100,59.036244468727574,20569.093295750037,7.75144768025708,5.538948197986077,15569.093295750037,,,,,-36.403819820361996,-54.883579642954636,-399.3477828856521,-1.9337207180539995,,,0.2056797398463317,3.742107961245943,-399.3477828856521,-2.5514525346290706
rsuSystem.economics.collectionCost_-20%,rsuSystem.economics.collectionCost,-20,640,high,82.69888000000002,100,97.33435900140694,37193.99657087217,7.75144768025708,5.5463612416784285,14193.99657087217,,,,,,,22159.10399999999,53.234039352476245,,,,,22159.104000000003,118.9698339609693
rsuSystem.economics.collectionCost_-20%,rsuSystem.economics.collectionCost,-20,640,low,33.898720000000004,100,66.32916449179737,16827.98657785342,7.75144768025708,5.49636039302966,11827.986577853419,,,,,,,19118.97600000002,92.57785214689248,,,,,19118.97600000002,122.15207361919987
rsuSystem.economics.collectionCost_-10%,rsuSystem.economics.collectionCost,-10,720,high,82.69888000000002,100,97.33435900140694,39409.90697087217,7.75144768025708,5.5463612416784285,16409.90697087217,,,,,,,22159.10399999999,53.234039352476245,,,,,22159.104000000003,118.9698339609693
rsuSystem.economics.collectionCost_-10%,rsuSystem.economics.collectionCost,-10,720,low,33.898720000000004,100,66.32916449179737,18739.884177853415,7.75144768025708,5.49636039302966,13739.884177853422,,,,,,,19118.97600000002,92.57785214689248,,,,,19118.97600000002,122.15207361919987
rsuSystem.economics.collectionCost_+10%,rsuSystem.economics.collectionCost,10,880.0000000000001,high,82.69888000000002,100,97.33435900140694,43841.727770872174,7.75144768025708,5.5463612416784285,20841.727770872163,,,,,,,22159.10399999999,53.234039352476245,,,,,22159.104000000003,118.9698339609693
rsuSystem.economics.collectionCost_+10%,rsuSystem.economics.collectionCost,10,880.0000000000001,low,33.898720000000004,100,66.32916449179737,22563.67937785343,7.75144768025708,5.49636039302966,17563.67937785343,,,,,,,19118.97600000002,92.57785214689248,,,,,19118.97600000002,122.15207361919987
rsuSystem.economics.collectionCost_+20%,rsuSystem.economics.collectionCost,20,960,high,82.69888000000002,100,97.33435900140694,46057.63817087217,7.75144768025708,5.5463612416784285,23057.63817087217,,,,,,,22159.10399999999,53.234039352476245,,,,,22159.104000000003,118.9698339609693
rsuSystem.economics.collectionCost_+20%,rsuSystem.economics.collectionCost,20,960,low,33.898720000000004,100,66.32916449179737,24475.576977853427,7.75144768025708,5.49636039302966,19475.576977853427,,,,,,,19118.97600000002,92.57785214689248,,,,,19118.97600000002,122.15207361919987
general.fixedPopulation_-20%,general.fixedPopulation,-20,2138.4,high,82.303276,100,93.93074533551976,41283.57422448742,7.75144768025708,5.557967085587506,18283.574224487427,1.9780200000000292,2.391834085298409,,,15.173136661200601,15.588674766925086,1709.4020773591,4.106591018090759,,,-0.05709511645275,-1.029415755030626,1709.4020773590728,9.177594965750641
general.fixedPopulation_-20%,general.fixedPopulation,-20,2138.4,low,33.503116000000006,100,62.956745742286536,20306.48603634546,7.75144768025708,5.509538442914844,15306.486036345465,1.9780200000000117,5.835087578528072,,,16.851971241146284,25.406578494186054,1724.132818707767,8.348591115545752,,,-0.06468202485236496,-1.1768155693428146,1724.1328187077577,11.015568982359117
general.fixedPopulation_-10%,general.fixedPopulation,-10,2405.7000000000003,high,82.501078,100,95.63297409897179,41454.78843711951,7.75144768025708,5.552116450695332,18454.78843711951,1.9780200000000292,2.391834085298409,,,15.173136661200601,15.588674766925086,1709.4020773591,4.106591018090759,,,-0.05709511645275,-1.029415755030626,1709.4020773590728,9.177594965750641
general.fixedPopulation_-10%,general.fixedPopulation,-10,2405.7000000000003,low,33.700918,100,64.64347391985076,20479.254138272252,7.75144768025708,5.502887494212052,15479.254138272252,1.9780200000000117,5.835087578528072,,,16.851971241146284,25.406578494186054,1724.132818707767,8.348591115545752,,,-0.06468202485236496,-1.1768155693428146,1724.1328187077577,11.015568982359117
general.fixedPopulation_+10%,general.fixedPopulation,10,2940.3,high,82.89668200000001,100,99.03491799514131,41796.66496691657,7.75144768025708,5.540699428679379,18796.664966916574,1.9780200000000292,2.391834085298409,,,15.173136661200601,15.588674766925086,1709.4020773591,4.106591018090759,,,-0.05709511645275,-1.029415755030626,1709.4020773590728,9.177594965750641
general.fixedPopulation_+10%,general.fixedPopulation,10,2940.3,low,34.096522,100,68.0138430213237,20824.0748767651,7.75144768025708,5.489954089472678,15824.074876765097,1.9780200000000117,5.835087578528072,,,16.851971241146284,25.406578494186054,1724.132818707767,8.348591115545752,,,-0.06468202485236496,-1.1768155693428146,1724.1328187077577,11.015568982359117
general.fixedPopulation_+20%,general.fixedPopulation,20,3207.6,high,83.09448400000001,100,100,41967.33505543106,7.75144768025708,5.535129039006406,18967.335055431056,1.9780200000000292,2.391834085298409,,,15.173136661200601,15.588674766925086,1709.4020773591,4.106591018090759,,,-0.05709511645275,-1.029415755030626,1709.4020773590728,9.177594965750641
general.fixedPopulation_+20%,general.fixedPopulation,20,3207.6,low,34.29432400000001,100,69.69753423874505,20996.139163828568,7.75144768025708,5.483665632973898,15996.139163828568,1.9780200000000117,5.835087578528072,,,16.851971241146284,25.406578494186054,1724.132818707767,8.348591115545752,,,-0.06468202485236496,-1.1768155693428146,1724.1328187077577,11.015568982359117